index,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
2946,52355,6,1,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,77000000.0,3000000.0,0.5,0.707106781,1,0,1,0.5,0.707106781,1,0,0,0.0,0.0,0,0,1,0,0,0,60,0,3000000.0,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,123,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
2982,443,6,6124166,10,12,646,3485,322,0,64.6,114.0333285,1432,0,290.4166667,476.4526989,674.5408273,3.592325878,291626.9524,1307888.998,5999475,0,6124166,680462.8889,1994740.262,5999618,757,6112605,555691.3636,1805621.197,5999500,0,0,0,0,0,212,252,1.632875399,1.959450479,0,1432,179.6086957,364.6904963,132999.1581,0,0,1,1,0,0,0,1,1,187.7727273,64.6,290.4166667,0,0,0,0,0,0,10,646,12,3485,8192,66,3,20,124548.0,0.0,124548,124548,5999475.0,0.0,5999475,5999475
2993,443,6,15707756,11,10,765,3895,409,0,69.54545455,130.4303367,1460,0,389.5,595.7128783,296.6687285,1.336919163,785387.8,2472723.96,9952845,1,15700000,1570775.6,3399243.93,9952845,25,10300000,1141241.556,3330744.132,10000000,1,0,0,0,0,232,208,0.70029099,0.636628173,0,1460,211.8181818,433.5466841,187962.7273,0,0,1,1,0,0,0,1,0,221.9047619,69.54545455,389.5,0,0,0,0,0,0,11,765,10,3895,8192,5113,5,20,165040.5,214849.4457,316962,13119,7688825.0,3201807.789,9952845,5424805
3010,443,6,20782327,8,7,738,3695,386,0,92.25,142.6832156,1460,0,527.8571429,675.6193279,213.3062385,0.721767105,1484451.929,5482558.782,20500000,0,20800000,2968903.857,7781619.314,20600000,62,20700000,3456165.5,8365888.812,20500000,0,0,0,0,0,172,152,0.384942456,0.336824649,0,1460,277.0625,494.7439026,244771.5292,0,0,1,1,0,0,0,1,0,295.5333333,92.25,527.8571429,0,0,0,0,0,0,8,738,7,3695,8192,7485,4,20,249085.0,0.0,249085,249085,20500000.0,0.0,20500000,20500000
3020,443,6,6130872,11,12,2007,4422,1078,0,182.4545455,315.1229486,1460,0,368.5,539.8000472,1048.62734,3.751505495,278676.0,1243754.51,5846483,1,284388,28438.8,29925.58759,80751,31,6083727,553066.0909,1766216.982,5877920,1,0,0,0,0,232,252,1.79419828,1.957307215,0,1460,267.875,440.9364849,194424.9837,0,0,1,1,0,0,0,1,1,279.5217391,182.4545455,368.5,0,0,0,0,0,0,11,2007,12,4422,8192,8003,6,20,284388.0,0.0,284388,284388,5846483.0,0.0,5846483,5846483
3027,0,0,108222900,60,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.554411312,1834286.441,2412354.426,16200000,6702,108000000,1834286.441,2412354.426,16200000,6702,0,0.0,0.0,0,0,0,0,0,0,0,0,0.554411312,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,60,0,0,0,-1,-1,0,0,36900000.0,36600000.0,62700000,11000000,9885355.333,5493073.897,16200000,5968904
3029,443,6,20846105,6,8,676,3695,387,0,112.6666667,155.3520733,1460,0,461.875,652.749446,209.6794581,0.67158829,1603546.538,5715579.48,20600000,1,146199,29239.8,26017.88161,49215,364,20800000,2971341.571,7785005.889,20600000,1,0,0,0,0,132,172,0.287823553,0.383764737,0,1460,291.4,507.9598972,258023.2571,0,0,1,1,0,0,0,1,1,312.2142857,112.6666667,461.875,0,0,0,0,0,0,6,676,8,3695,8192,7516,3,20,219907.0,0.0,219907,219907,20600000.0,0.0,20600000,20600000
3052,52472,6,2,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,15500000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,40,0,1000000.0,0.0,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,15.5,0.0,0,0,0,0,0,0,2,31,0,0,40927,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
3057,80,6,115471618,16,14,443,706,432,0,27.6875,107.8175736,706,0,50.42857143,188.6864368,9.9504971,0.259804102,3981779.931,4883074.606,10000000,14,115000000,7698107.867,4149466.616,10000000,163,110000000,8477318.846,3756764.147,10000000,11668,0,0,0,0,332,424,0.138562188,0.121241914,0,706,37.06451613,146.3425059,21416.12903,0,0,1,1,0,0,0,1,0,38.3,27.6875,50.42857143,0,0,0,0,0,0,16,443,14,706,8192,172,12,20,19551.18182,24802.34168,94323,11470,9999124.909,13717.65361,10000000,9957783
3058,80,6,115761252,16,14,445,706,434,0,27.8125,108.3175694,706,0,50.42857143,188.6864368,9.94287795,0.259154073,3991767.31,4884916.58,10000000,15,116000000,7717416.8,4135179.864,10000000,171,110000000,8476761.538,3756638.52,10000000,11739,0,0,0,0,332,424,0.138215506,0.120938568,0,706,37.12903226,146.5227495,21468.91613,0,0,1,1,0,0,0,1,0,38.36666667,27.8125,50.42857143,0,0,0,0,0,0,16,445,14,706,8192,172,12,20,20662.63636,28851.26775,107645,11468,9997352.545,19952.79025,10000000,9937203
