index,x,y,1 clusters,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,optimal cluster,type_ex,operation_ex,amount_ex,balance_ex,bank_ex,k_symbol_ex,type,operation,amount,balance,bank,k_symbol,anomaly_scores,label
1000.0,0.00882936297739722,0.01276823258162736,0.0,0,1,1,1,0,6,6,8,2,0.1505065375234947,0.17816298326099994,0.2343069030629374,0.12163397130776642,0.15894216473932538,0.15644744010547615,ISSUE,TRANSFER TO ACCOUNT,39364.0,48059.0,ST,DUCHO,0.8589493656145318,1.0
1001.0,0.006856559980987204,0.011491550703019457,0.0,0,1,1,1,0,1,0,1,2,0.1506598062502137,0.17950243230214993,0.23228050828219196,0.12191728372966844,0.15969911891602798,0.155940850519748,ISSUE,TRANSFER TO ACCOUNT,39372.0,43634.0,KL,DUCHO,0.8642225076532103,1.0
1002.0,0.008385474156646179,0.012509275882477813,0.0,0,1,1,1,0,6,6,1,2,0.15063718812470878,0.17845660532800536,0.23377488888814124,0.12154661349497164,0.15928931095426385,0.1562953932099092,ISSUE,TRANSFER TO ACCOUNT,39341.0,46222.0,ST,DUCHO,0.8560427876852521,1.0
1003.0,0.007695489262605242,0.012893587972060278,0.0,0,1,1,1,0,1,0,1,2,0.15099293174935657,0.17880408416053553,0.2337163316853569,0.12130762457888523,0.15897278777494406,0.15620624005092176,ISSUE,TRANSFER TO ACCOUNT,39326.0,45209.0,WX,SIPO,0.8522527482790379,1.0
1004.0,0.0087619220443145,0.012300716416220764,0.0,0,1,1,1,0,6,6,8,2,0.15058610302407685,0.17832877527592017,0.23372014562132035,0.12133402642967216,0.15935741330069444,0.15667353634831607,ISSUE,TRANSFER TO ACCOUNT,39413.0,47430.0,KL,DUCHO,0.8537189140981178,1.0
1005.0,0.008655484693703109,0.012271911275453282,0.0,0,1,1,1,0,6,6,8,2,0.150590449351183,0.17851172483573932,0.23373940314560268,0.12148958021906922,0.15934317530621586,0.15632566714218998,ISSUE,TRANSFER TO ACCOUNT,39444.0,46321.0,IJ,SIPO,0.8544964801000408,1.0
1006.0,0.009358151031233374,0.012872106773878464,0.0,0,1,1,1,0,6,6,8,2,0.1509494879344881,0.17812874371724413,0.2345356927816624,0.12102056033501257,0.15897327967694788,0.15639223555464493,ISSUE,TRANSFER TO ACCOUNT,39216.0,46470.0,ST,DUCHO,0.8596498872842658,1.0
1007.0,0.008692100560360542,0.011058215033407532,0.0,0,1,1,1,0,6,6,8,2,0.15133823443268124,0.17911567973227746,0.23285519414066308,0.12169469030204322,0.1593516560401879,0.15564454535214722,ISSUE,TRANSFER TO ACCOUNT,39235.0,43951.0,KL,DUCHO,0.8691716711035855,1.0
1008.0,0.00813193492360991,0.012547322732890664,0.0,0,1,1,1,0,1,0,1,2,0.15065011538580542,0.17845387390050707,0.23365927404748754,0.12157074177252061,0.1592727364700019,0.1563932584236774,ISSUE,TRANSFER TO ACCOUNT,39549.0,46647.0,IJ,DUCHO,0.8549939878075749,1.0
1009.0,0.010127564299869204,0.012185559467327611,0.0,0,1,1,1,0,6,6,8,2,0.1515370688810446,0.17829467125185144,0.23465911450664761,0.12112036678720683,0.15867016912198484,0.15571860945126478,ISSUE,TRANSFER TO ACCOUNT,39096.0,45720.0,WX,DUCHO,0.8578673719715025,1.0
